filename,original_dimensions,final_dimensions
agafay_desert.jpg,unknown,1600x900
ait_bougmez.jpg,unknown,1600x900
atlas_village.jpg,unknown,1600x900
guide_coastal_vibes.jpg,unknown,1600x900
guide_culture_flavors.jpg,550x413,1600x900
guide_high_atlas.jpg,unknown,1600x900
guide_sahara_desert.jpg,unknown,1600x900
happy_valley_main.jpg,unknown,1600x900
hero_about.jpg,612x408,1600x900
hero_customize.jpg,612x408,1600x900
hero_guide.jpg,1024x1024,1600x900
hero_home.jpg,612x396,1600x900
hero_tours.jpg,1024x682,1600x900
logo.png,unknown,1600x900
mgoun.jpg,unknown,1600x900
mgoun_main.jpg,unknown,1600x900
saghro_bab_nali.jpg,unknown,1600x900
saghro_cathedral.jpg,unknown,1600x900
saghro_main.jpg,unknown,1600x900
saghro_sunset_rocks.jpg,unknown,1600x900
sahara_erg_chebbi.jpg,unknown,1600x900
siroua_main.jpg,unknown,1600x900
siroua_volcanic_pools.jpg,unknown,1600x900
team4.jpg,1200x800,1600x900
todra_dades.jpg,unknown,1600x900
toubkal_summit.jpg,unknown,1600x900
volcanic_canyon.jpg,unknown,1600x900
